AGENT;ID;AGE;SEXE;AGE4T;PROF;RS4;HABITAT;Revenu;CP;TLUDA9;TLUDA5;TLCC9;TLCC5;RS3;CSP;C1;C2;C4;C3;O_C3;NRJ;QP1;QP2;QP3_A1;QP3_A2;QP3_A3;QP4;QP5_A1;QP5_A2;QP5_A3;QP5_A4;QP5_A5;QP5_A6;QP6_A1;QP6_A2;QP6_A3;QP6_A4;QP6_A5;QP6_A6;QP6_A7;QP7_M1;O_QP7_M1;QP7_M2;O_QP7_M2;QP7_M3;O_QP7_M3;QF1;QF2;QF3;QF4;QF5;QF6;QR1_A1;QR1_A2;QR1_A3;QR1_A4;QR1_A5;QR1_A6;QR1_A7;QR1_A8;QR1_A9;QR1_A10;QR1_A11;QR2;Q_F1;Q_F2;Q_F3;Q_F4;Q_F5;Q_F6;Q_F7;Q_F8;Q_F9_M1;O_Q_F9_M1;Q_F9_M2;O_Q_F9_M2;Q_F9_M3;O_Q_F9_M3;Q_F10;QE1;QE2;QE3;QE4;QE5;QE6_M1;O_QE6_M1;QE6_M2;O_QE6_M2;QE6_M3;O_QE6_M3;QE6_M4;O_QE6_M4;QE6_M5;O_QE6_M5;QE6_M6;O_QE6_M6;QE6_M7;O_QE6_M7;QE6_M8;O_QE6_M8;QE6_M9;O_QE6_M9;QE6_M10;O_QE6_M10;QE6_M11;O_QE6_M11;QE7;QE8;QA1;QA2;QA3;QA4;QA5;HABITAT.1;QC5;QC6;QC7;QC8;QC9;QC10;QC11;QC12;QC13_M1;QC13_M2;QC13_M3;QC13_M4;QC13_M5;QC13_M6;QC13_M7;QC13_M8;QC13_M9;QC13_M10;QC13_M11;QC13_M12;QC13_M13;QC14;QC15;QC16;S9;S10;QC17;S4;QC18_M1;QC18_M2;QC18_M3;QC18_M4;QC18_M5;POIDS;PROF.1;RS4.1;Typeabonnement;Typecompteur;Puissancesouscrite;Typecommune;Radiateurselectriques;Balloneauchaudeelectrique;Bornerecharge;Autresourceenergie;Q11;Q12;Q13;Q14;Q2;Q3;Q4;Q51;Q52;Q6;Q71;Q72;Q8;Q91;Q92;Q10;Q111;Q112;Q131;Q132;Q141;Q151;Q152;Q16;Q17;Q181;Q182;Q19;Q20;Q21;Q22;Q24;Q25;RS11;prob5inf;prob5sup;Q11B;Q12B;Q13B;Q14B;Q2B;Q3B;Q4B;Q51B;Q52B;Q6B;score16;score15;probinf;probsup
AG2420;62297;22;Femme;<30 ans;Agriculteur, exploitant;Non;Appartement;4;75001;1;1;9;5;1;1;1.0;;2;1;;1;1;2;2;2;1;2;1;2;3;3;2;1;3.0;1.0;3.0;2.0;1.0;2.0;1;5;;3.0;;2.0;;3;2;2;1;3;3;2.0;2.0;1.0;1.0;1.0;2.0;2.0;2.0;3.0;2.0;2.0;2;4;1;2;3;;;3;;1.0;;10.0;;9.0;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;3.0;2;2;2;2;3;3;4;3;2;1;1;2;8;3.0;13.0;2.0;1.0;6.0;10.0;;;;;;;2;;1;3;2.0;2;7;3;5.0;;;;1,03546;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5;0.5
AG2264;62138;26;Femme;<30 ans;Autre inactif;Non;Appartement;1;67350;5;3;3;2;1;3;;2.0;3;1;;1;1;1;1;1;2;1;1;2;2;1;2;3;2.0;1.0;1.0;1.0;1.0;2.0;2;2;;;;;;2;1;1;1;99;1;1.0;1.0;2.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;2.0;1;2;2;2;1;2.0;2.0;1;0.0;;;;;;;2;1;;1.0;;2.0;9.0;;;;;;;;;;;;;;;;;;;;;;1.0;1;1;2.0;3;2;1;2;1;3;2;1;99;2;1;2;8;13.0;;;;;;;;;;;;2;;2;3;1.0;1;1;4;;;;;1,21463;9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5;0.5
AG2374;62236;24;Femme;<30 ans;Autre inactif;Non;Appartement;1;29200;3;2;8;4;2;3;;2.0;1;1;;1;2;1;1;1;1;1;2;2;1;1;1;1;1.0;1.0;1.0;1.0;1.0;1.0;1;3;;5.0;;1.0;;2;99;2;1;2;3;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;3;4;2;2;1.0;2.0;1;50.0;;;;;;;2;1;;2.0;;1.0;10.0;;;;;;;;;;;;;;;;;;;;;;1.0;4;1;3.0;2;1;2;2;2;2;1;2;1;2;3;1;13;8.0;7.0;6.0;3.0;1.0;;;;;;;;2;;2;2;1.0;1;8;4;;;;;1,228906;9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5;0.5
AG2392;62261;29;Femme;<30 ans;Autre inactif;Non;Appartement;2;75009;1;1;9;5;1;3;;2.0;1;1;;1;2;1;1;1;1;1;1;1;2;1;1;1;1.0;1.0;1.0;1.0;1.0;1.0;1;2;;;;;;1;1;1;1;1;6;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;4;4;1;1;1.0;2.0;1;100.0;;;;;;;1;1;;2.0;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;3.0;2;1;3.0;2;1;1;2;4;2;3;1;1;1;1;1;3;;;;;;;;;;;;;1;1.0;2;1;;1;1;2;;;;;1,32845;9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5;0.5
AG2393;62261;29;Femme;<30 ans;Autre inactif;Non;Appartement;2;75009;1;1;9;5;1;3;;2.0;1;1;;1;2;1;1;1;1;1;1;1;2;1;1;1;1.0;1.0;1.0;1.0;1.0;1.0;1;2;;;;;;1;1;1;1;1;6;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;4;4;1;1;1.0;2.0;1;100.0;;;;;;;1;1;;2.0;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;3.0;2;1;3.0;2;1;1;2;4;2;3;1;1;1;1;1;3;;;;;;;;;;;;;1;1.0;2;1;;1;1;2;;;;;1,32845;9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5;0.5
AG2447;62328;22;Femme;<30 ans;Autre inactif;Non;Appartement;3;59800;4;3;8;4;1;3;;2.0;2;1;;1;2;2;3;3;3;3;2;99;3;3;3;3;2.0;;1.0;2.0;3.0;2.0;2;5;;2.0;;4.0;;3;1;1;2;4;4;2.0;1.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;2.0;2;3;4;2;2;2.0;2.0;2;20.0;;;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;1;5.0;3;3;2;2;2;3;4;3;2;1;2;1;8;6.0;3.0;;;;;;;;;;;2;;2;3;1.0;2;7;2;;;;;1,187905;9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5;0.5
AG1878;49452;18;Femme;<30 ans;Autre inactif;Non;Maison;3;89100;6;3;5;3;1;3;;2.0;3;1;;1;2;2;4;2;2;1;1;99;1;1;99;1;4.0;;2.0;2.0;;2.0;2;4;;2.0;;5.0;;2;1;1;2;4;7;2.0;2.0;1.0;3.0;2.0;1.0;2.0;3.0;2.0;1.0;2.0;2;3;3;2;3;;;3;;4.0;;8.0;;1.0;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;3.0;1;3;3;1;3;3;3;1;3;1;1;3;13;10.0;1.0;6.0;3.0;8.0;;;;;;;;2;;2;2;1.0;2;4;1;;;;;1,167242;9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5;0.5
AG2342;62210;24;Femme;<30 ans;Autre inactif;Non;Maison;4;62470;4;3;8;4;1;3;;2.0;1;1;;1;1;2;2;3;3;3;3;99;3;3;99;3;2.0;;3.0;4.0;;2.0;3;2;;5.0;;3.0;;4;1;2;99;3;2;2.0;1.0;3.0;3.0;3.0;2.0;2.0;3.0;3.0;1.0;1.0;1;3;3;1;3;;;4;;7.0;;1.0;;5.0;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;2.0;2;3;3;1;3;4;2;2;99;2;2;3;1;3.0;8.0;13.0;6.0;;;;;;;;;2;;2;4;3.0;3;3;5;;;;;1,187905;9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5;0.5
AG2466;62348;29;Femme;<30 ans;Autre inactif;Non;Maison;1;79000;3;2;6;3;2;3;;2.0;1;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2.0;2.0;2.0;2.0;2.0;2.0;2;2;;;;;;2;1;99;99;99;1;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2;1;1;3;1;2.0;3.0;2;50.0;;;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;1;4;4;1;2;3;4;1;99;1;1;1;6;13.0;8.0;7.0;3.0;;;;;;;;;2;;1;1;;2;7;97;;;;;1,20753;9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5;0.5
AG2479;62359;27;Femme;<30 ans;Autre inactif;Non;Maison;3;75020;1;1;9;5;1;3;;2.0;1;1;;1;1;2;2;2;2;2;99;99;2;3;99;3;;;2.0;2.0;;2.0;2;3;;5.0;;2.0;;3;1;1;2;4;5;1.0;2.0;2.0;1.0;2.0;3.0;3.0;2.0;1.0;2.0;2.0;2;4;1;3;2;2.0;3.0;2;75.0;;;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;5.0;2;4;3;1;5;6;6;6;99;2;1;1;1;8.0;3.0;7.0;10.0;2.0;12.0;5.0;13.0;6.0;;;;2;;1;3;1.0;3;9;97;;;;;1,32845;9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5;0.5
