AGENT;ID;Sexe;Age;Activite;Revenu;CALCAGE;CP;TLUDA9;TLUDA5;TLCC9;TLCC5;RS3;CSP;C1;C2;C4;C3;O_C3;NRJ;QP1;QP2;QP3_A1;QP3_A2;QP3_A3;QP4;QP5_A1;QP5_A2;QP5_A3;QP5_A4;QP5_A5;QP5_A6;QP6_A1;QP6_A2;QP6_A3;QP6_A4;QP6_A5;QP6_A6;QP6_A7;QP7_M1;O_QP7_M1;QP7_M2;O_QP7_M2;QP7_M3;O_QP7_M3;QF1;QF2;QF3;QF4;QF5;QF6;QR1_A1;QR1_A2;QR1_A3;QR1_A4;QR1_A5;QR1_A6;QR1_A7;QR1_A8;QR1_A9;QR1_A10;QR1_A11;QR2;Q_F1;Q_F2;Q_F3;Q_F4;Q_F5;Q_F6;Q_F7;Q_F8;Q_F9_M1;O_Q_F9_M1;Q_F9_M2;O_Q_F9_M2;Q_F9_M3;O_Q_F9_M3;Q_F10;QE1;QE2;QE3;QE4;QE5;QE6_M1;O_QE6_M1;QE6_M2;O_QE6_M2;QE6_M3;O_QE6_M3;QE6_M4;O_QE6_M4;QE6_M5;O_QE6_M5;QE6_M6;O_QE6_M6;QE6_M7;O_QE6_M7;QE6_M8;O_QE6_M8;QE6_M9;O_QE6_M9;QE6_M10;O_QE6_M10;QE6_M11;O_QE6_M11;QE7;QE8;QA1;QA2;QA3;QA4;QA5;QC4;QC5;QC6;QC7;QC8;QC9;QC10;QC11;QC12;QC13_M1;QC13_M2;QC13_M3;QC13_M4;QC13_M5;QC13_M6;QC13_M7;QC13_M8;QC13_M9;QC13_M10;QC13_M11;QC13_M12;QC13_M13;QC14;QC15;QC16;S9;S10;QC17;S4;QC18_M1;QC18_M2;QC18_M3;QC18_M4;QC18_M5;POIDS
AG1;15;2;2;5;6;32;37110;2;2;1;1;2;2;1;;2;1;;1;2;2;3;2;2;2;3;1;1;1;1;1;2;2;2;3;3;2;1;5;;4;;2;;4;1;1;2;3;7;2;2;3;3;3;2;2;4;3;2;1;2;3;2;2;3;;;3;;4;;1;;5;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;5;1;3;3;1;4;4;6;3;2;1;1;2;9;1;8;10;5;13;3;2;;;;;;2;;2;2;1;1;7;97;;;;;1,050444
AG2;62;2;2;2;6;44;85600;3;2;1;1;2;1;1;;2;1;;1;2;2;3;2;2;2;3;3;1;3;99;2;2;2;2;2;;1;1;3;;2;;5;;5;1;2;2;2;3;4;3;4;4;3;2;3;3;4;2;3;3;4;1;3;2;3;2;2;75;;;;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;4;2;3;3;1;5;5;3;5;99;2;2;1;7;2;1;3;5;8;6;13;;;;;;2;;1;5;3;3;6;1;;;;;1,082663
AG3;62;2;2;2;6;44;85600;3;2;1;1;2;1;1;;2;1;;1;2;2;3;2;2;2;3;3;1;3;99;2;2;2;2;2;;1;1;3;;2;;5;;5;1;2;2;2;3;4;3;4;4;3;2;3;3;4;2;3;3;4;1;3;2;3;2;2;75;;;;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;4;2;3;3;1;5;5;3;5;99;2;2;1;7;2;1;3;5;8;6;13;;;;;;2;;1;5;3;3;6;1;;;;;1,082663
AG4;105;1;4;7;7;69;33610;7;4;8;4;2;3;;;1;1;;1;2;2;2;4;4;3;3;3;3;3;3;3;2;4;1;1;2;3;4;5;;2;;3;;5;1;2;2;99;2;2;1;4;3;2;1;1;4;4;2;2;1;3;3;1;4;;;4;;7;;4;;1;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;7;2;3;4;2;3;3;7;2;1;2;2;3;1;5;9;2;8;6;13;4;3;;;;;2;;1;2;1;4;10;1;;;;;0,988619
AG5;105;1;4;7;7;69;33610;7;4;8;4;2;3;;;1;1;;1;2;2;2;4;4;3;3;3;3;3;3;3;2;4;1;1;2;3;4;5;;2;;3;;5;1;2;2;99;2;2;1;4;3;2;1;1;4;4;2;2;1;3;3;1;4;;;4;;7;;4;;1;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;7;2;3;4;2;3;3;7;2;1;2;2;3;1;5;9;2;8;6;13;4;3;;;;;2;;1;2;1;4;10;1;;;;;0,988619
AG6;118;1;4;7;7;72;78360;1;1;9;5;1;3;;;2;1;;1;1;2;3;3;3;2;99;99;1;2;1;99;;;2;2;2;;2;4;;2;;;;5;1;1;2;2;7;2;2;3;2;2;2;2;2;3;2;2;3;2;1;2;3;;;3;;10;;8;;5;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;5;2;2;2;1;5;5;5;6;2;1;1;1;2;7;10;13;6;8;3;1;5;;;;;2;;1;2;1;3;9;5;;;;;1,0687
AG7;145;2;2;5;5;35;30100;9;5;6;3;3;2;1;;1;1;;1;2;2;2;1;3;1;3;99;1;1;1;1;4;;1;1;2;1;1;2;;4;;3;;5;1;1;2;99;6;2;1;1;1;1;1;2;2;1;1;1;2;4;2;4;1;1;4;2;100;;;;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;2;;4;2;2;1;6;5;4;2;99;1;1;1;5;6;8;3;13;1;;;;;;;;2;;2;5;3;3;4;2;1;;;;0,857699
AG8;160;2;2;4;7;32;8000;6;3;6;3;1;1;1;;2;1;;1;1;2;4;2;2;3;3;2;2;1;99;3;3;3;3;3;;2;2;5;;4;;2;;5;1;1;2;3;5;1;1;3;4;3;1;3;3;3;2;1;2;4;2;2;2;3;3;3;;5;;1;;7;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;1;1;3;3;1;7;5;5;1;2;2;1;1;3;13;2;6;10;1;8;7;9;5;;;;2;;1;4;3;4;7;97;;;;;0,873478
AG9;174;2;1;5;4;26;52220;6;3;1;1;1;2;1;NA;1;3;;2;1;2;4;3;3;2;3;3;1;3;99;99;1;1;1;1;NA;NA;1;4;;5;;2;;2;NA;1;2;99;3;1;3;3;3;3;2;1;3;3;2;3;3;2;1;1;2;2;2;3;NA;5;;6;;NA;;2;NA;1;3;1;NA;NA;;NA;;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;1;1;1;4;3;1;4;4;7;1;99;4;4;1;1;7;5;4;2;6;13;8;3;NA;NA;NA;NA;2;NA;2;1;NA;1;8;97;NA;NA;NA;NA;1,057629
AG10;256;2;4;7;4;80;31150;7;4;8;4;2;3;;;1;1;;1;2;2;2;3;3;2;99;2;1;2;99;99;;2;3;2;;;2;5;;2;;1;;5;1;2;2;3;4;2;2;2;2;2;2;2;2;2;2;2;3;4;2;2;2;3;2;2;50;;;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;1;2;2;3;2;3;3;6;1;2;1;1;1;8;10;13;3;5;6;2;7;1;;;;;2;;1;1;;4;7;4;;;;;0,934715
