AGENT;ID;AGE;SEXE;AGE4T;PROF;RS4;HABITAT;Revenu;CP;POI  DS;PROF;RS4;probinf;probsup
AG2420;62297;22;Femme;<30 ans;Agriculteur, exploitant;Non;Appartement;4;75001;1,03546;1;0;0.5;0.5
AG2264;62138;26;Femme;<30 ans;Autre inactif;Non;Appartement;1;67350;1,21463;9;0;0.5;0.5
AG2374;62236;24;Femme;<30 ans;Autre inactif;Non;Appartement;1;29200;1,228906;9;0;0.5;0.5
AG2392;62261;29;Femme;<30 ans;Autre inactif;Non;Appartement;2;75009;1,32845;9;0;0.5;0.5
AG2393;62261;29;Femme;<30 ans;Autre inactif;Non;Appartement;2;75009;1,32845;9;0;0.5;0.5
AG2447;62328;22;Femme;<30 ans;Autre inactif;Non;Appartement;3;59800;1,187905;9;0;0.5;0.5
AG1878;49452;18;Femme;<30 ans;Autre inactif;Non;Maison;3;89100;1,167242;9;0;0.5;0.5
AG2342;62210;24;Femme;<30 ans;Autre inactif;Non;Maison;4;62470;1,187905;9;0;0.5;0.5
AG2466;62348;29;Femme;<30 ans;Autre inactif;Non;Maison;1;79000;1,20753;9;0;0.5;0.5
AG2479;62359;27;Femme;<30 ans;Autre inactif;Non;Maison;3;75020;1,32845;9;0;0.5;0.5
AG2480;62359;27;Femme;<30 ans;Autre inactif;Non;Maison;3;75020;1,32845;9;0;0.5;0.5
AG2516;62432;25;Femme;<30 ans;Autre inactif;Non;Maison;5;64300;1,44678;9;0;0.5;0.5
AG2517;62432;25;Femme;<30 ans;Autre inactif;Non;Maison;5;64300;1,44678;9;0;0.5;0.5
AG2520;62437;20;Femme;<30 ans;Autre inactif;Non;Maison;2;35520;1,256553;9;0;0.5;0.5
AG684;16401;26;Femme;<30 ans;Autre inactif;Oui;Appartement;4;33200;1,228906;9;0;0.5;0.5
AG1343;32542;27;Femme;<30 ans;Autre inactif;Oui;Appartement;3;11200;1,415365;9;0;0.5;0.5
AG1344;32542;27;Femme;<30 ans;Autre inactif;Oui;Appartement;3;11200;1,415365;9;0;0.5;0.5
AG2398;62270;27;Femme;<30 ans;Autre inactif;Oui;Appartement;4;30100;1,181311;9;0;0.5;0.5
AG1212;29639;29;Femme;<30 ans;Autre inactif;Oui;Maison;3;62890;1,39851;9;0;0.5;0.5
AG1213;29639;29;Femme;<30 ans;Autre inactif;Oui;Maison;3;62890;1,39851;9;0;0.5;0.5
AG1214;29639;29;Femme;<30 ans;Autre inactif;Oui;Maison;3;62890;1,39851;9;0;0.5;0.5
AG1565;39784;29;Femme;<30 ans;Autre inactif;Oui;Maison;4;87000;1,187905;9;0;0.5;0.5
AG1566;39784;29;Femme;<30 ans;Autre inactif;Oui;Maison;4;87000;1,187905;9;0;0.5;0.5
AG2343;62210;24;Femme;<30 ans;Autre inactif;Oui;Maison;4;62470;1,187905;9;0;0.5;0.5
AG2518;62432;25;Femme;<30 ans;Autre inactif;Oui;Maison;5;64300;1,44678;9;0;0.5;0.5
AG2519;62437;20;Femme;<30 ans;Autre inactif;Oui;Maison;2;35520;1,256553;9;0;0.5;0.5
AG1589;40424;27;Femme;<30 ans;Cadre, profession intellectuelle superieure, profession liberale;Non;Appartement;6;78260;1,03546;3;0;0.7;1
AG2371;62234;29;Femme;<30 ans;Cadre, profession intellectuelle superieure, profession liberale;Non;Appartement;7;93500;1,03546;3;0;0.7;1
AG2372;62234;29;Femme;<30 ans;Cadre, profession intellectuelle superieure, profession liberale;Non;Appartement;7;93500;1,03546;3;0;0.7;1
AG2405;62277;20;Femme;<30 ans;Cadre, profession intellectuelle superieure, profession liberale;Non;Appartement;1;30000;0,937071;3;0;0.7;1
AG2471;62353;29;Femme;<30 ans;Cadre, profession intellectuelle superieure, profession liberale;Non;Appartement;5;21000;0,925912;3;0;0.7;1
AG2474;62355;26;Femme;<30 ans;Cadre, profession intellectuelle superieure, profession liberale;Non;Appartement;9;13300;0,920772;3;0;0.7;1
AG2487;62367;24;Femme;<30 ans;Cadre, profession intellectuelle superieure, profession liberale;Non;Appartement;6;95310;1,03546;3;0;0.7;1
