num;IDBVA;STATUT;AGE;SEXE;AGE4T;RS4;HABITAT;Typeabonnement;Typecompteur;Puissancesouscrite;Typecommune;Radiateurselectriques;Balloneauchaudeelectrique;Bornerecharge;Autresourceenergie;Q11;Q12;Q13;Q14;Q2;Q3;Q4;Q51;Q52;Q6;Q71;Q72;Q8;Q91;Q92;Q10;Q111;Q112;Q131;Q132;Q141;Q151;Q152;Q16;Q17;Q181;Q182;Q19;Q20;Q21;Q22;Q24;Q25;RS11;prob5inf;prob5sup;Q11B;Q12B;Q13B;Q14B;Q2B;Q3B;Q4B;Q51B;Q52B;Q6B;score16;score15;prob1_5inf;prob1_5sup;prob2_5inf;prob2_5sup;CP;TLUDA9;TLUDA5;TLCC9;TLCC5;RS3;CSP;C1;C2;C4;C3;NRJ;POIDS;probaInf;probasup
796;1208;Participant;75;Femme;>= 60 ans;Non;Maison;Tarif de base;Triphase;9;Rurale;Non;Oui;Non;Oui;Ne se prononce pas;Non, pas vraiment;Non, pas du tout;Ne se prononce pas;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Non;;;;;;;Non, pas vraiment;Non;;;Non;;;Oui, j¶?etais present avec une ou plusieurs autres personnes;Non;;;;;Oui, tout a fait;Pas vraiment gene;Oui, tout a fait;Est inchangee;Oui;0.52;0.94;0;0;0;0;1;1;1;1;1;0;5;5;0,52;0,94;0,17;0,37;81340.0;7;4;1;1;2;3;;;2;1;1;1,438897;0,5;0,5
793;1328;Participant;73;Femme;>= 60 ans;Non;Maison;Tarif de base;Triphase;9;Rurale;Non;Non;Non;Oui;Oui, plutot;Oui, plutot;Oui, plutot;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Oui, plutot;Oui, plutot;Oui, tout a fait;Non;;;;;;;Non, pas du tout;Non;;;Non;;;Oui, j¶?etais present seul;Non;;;;;Oui, tout a fait;Pas du tout gene;Non, pas du tout;Est inchangee;Non;0.52;0.94;1;1;1;1;1;1;1;1;1;0;9;9;0,52;0,94;0,23;0,8;81340.0;7;4;1;1;2;3;;;2;1;1;1,438897;0,511;0,805
797;1895;Participant;60;Femme;>= 60 ans;Non;Maison;Tarif de base;Triphase;9;Rurale;Non;Oui;Non;Oui;Non, pas vraiment;Ne se prononce pas;Non, pas du tout;Non, pas du tout;Oui, plutot;Oui, tout a fait;Oui, plutot;Oui, tout a fait;Oui, plutot;Non;;;;;;;Non, pas du tout;Non;;;Non;;;Oui, j¶?etais present avec une ou plusieurs autres personnes;Non;;;;;Oui, plutot;Un peu gene;Oui, plutot;S'est degradee;Non;0.5;0.5;0;0;0;0;1;1;1;1;1;0;5;5;0,5;0,5;0,17;0,37;81340.0;7;4;1;1;2;3;;;2;1;1;1,438897;0,5;0,5
282;2041;Participant;84;Femme;>= 60 ans;Non;Maison;Tarif de base;Monophase;9;Urbaine;Non;Non;Non;Oui;Non, pas du tout;Non, pas du tout;Oui, tout a fait;Ne se prononce pas;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Non;;;;;;;Oui, un peu;Oui;Lave-linge,Lave-vaisselle;;Oui;Box internet;;Oui, j¶?etais present avec une ou plusieurs autres personnes;Non;;;;;Oui, tout a fait;Pas vraiment gene;Oui, tout a fait;Est inchangee;Non;0.67;0.99;0;0;1;0;1;1;1;1;1;0;6;6;0,67;0,99;0,18;0,52;81340.0;7;4;1;1;2;3;;;2;1;1;1,438897;0,2;0,457
37;2641;Participant;76;Femme;>= 60 ans;Non;Maison;HP/HC;Monophase;9;Rurale;Non;Oui;Non;Non;Ne se prononce pas;Non, pas du tout;Oui, plutot;Non, pas du tout;Oui, tout a fait;Oui, tout a fait;Oui, plutot;Oui, plutot;Oui, plutot;Non;;;;;;;Non, pas du tout;Non;;;Non;;;Oui, j¶?etais present seul;Non;;;;;Oui, plutot;Pas du tout gene;Ne se prononce pas;Est inchangee;Oui;0.66;0.81;0;0;1;0;1;1;1;1;1;0;6;6;0,66;0,81;0,18;0,52;81340.0;7;4;1;1;2;3;;;2;1;1;1,438897;0,5;0,5
690;2770;Participant;80;Femme;>= 60 ans;Non;Maison;HP/HC;Triphase;9;Urbaine;Non;Oui;Non;Oui;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Oui, plutot;Non;;;;;;;Oui, un peu;Non;;;Non;;;Non, il n¶?y avait personne a mon domicile;Non;;;;;Oui, plutot;Pas vraiment gene;Non, pas du tout;S'est amelioree;Non;0.51;0.67;1;1;1;1;1;1;1;1;1;0;9;9;0,51;0,67;0,23;0,8;81340.0;7;4;1;1;2;3;;;2;1;1;1,438897;0,511;0,805
627;2774;Participant;80;Homme;>= 60 ans;Non;Maison;HP/HC;Triphase;9;Urbaine;Non;Non;Non;Oui;Non, pas du tout;Non, pas du tout;Non, pas du tout;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Non;;;;;;;Non, pas vraiment;Non;;;Non;;;Oui, j¶?etais present seul;Non;;;;;Oui, tout a fait;Pas du tout gene;Oui, plutot;Est inchangee;Non;0.51;0.67;0;0;0;1;1;1;1;1;1;0;6;6;0,51;0,67;0,2;0,55;81340.0;7;4;1;1;2;3;;;2;1;1;1,438897;0,207;0,776
551;2789;Participant;79;Homme;>= 60 ans;Non;Maison;HP/HC;Triphase;9;Urbaine;Non;Non;Non;Oui;Non, pas du tout;Non, pas du tout;Non, pas du tout;Non, pas du tout;Ne se prononce pas;Non, pas du tout;Oui, plutot;Ne se prononce pas;Ne se prononce pas;Oui;Par telephone;;Non, pas du tout;;;;Non, pas du tout;Non;;;Non;;;Oui, j¶?etais present seul;Non;;;;;Ne se prononce pas;Pas du tout gene;Oui, plutot;Est inchangee;Non;0.51;0.67;0;0;0;0;0;0;1;0;0;1;2;1;0,51;0,67;0,32;0,44;81340.0;7;4;1;1;2;3;;;2;1;1;1,438897;0,2;0,457
2;2794;Participant;68;Homme;>= 60 ans;Non;Maison;HP/HC;Triphase;9;Rurale;Oui;Oui;Non;Oui;Oui, tout a fait;Non, pas vraiment;Non, pas du tout;Oui, plutot;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Non;;;;;;;Non, pas du tout;Non;;;Non;;;Oui, j¶?etais present avec une ou plusieurs autres personnes;Non;;;;;Oui, tout a fait;Pas du tout gene;Oui, plutot;S'est amelioree;Non;0.66;0.81;1;0;0;1;1;1;1;1;1;0;7;7;0,66;0,81;0,22;0,69;81340.0;7;4;1;1;2;3;;;2;1;1;1,438897;0,5;0,5
626;2889;Participant;70;Homme;>= 60 ans;Non;Maison;HP/HC;Triphase;9;Urbaine;Non;Non;Non;Oui;Ne se prononce pas;Non, pas vraiment;Non, pas vraiment;Ne se prononce pas;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Non;;;;;;;Non, pas du tout;Non;;;Non;;;Oui, j¶?etais present avec une ou plusieurs autres personnes;Non;;;;;Oui, tout a fait;Pas du tout gene;Oui, tout a fait;Est inchangee;Non;0.51;0.67;0;0;0;0;1;1;1;1;1;0;5;5;0,51;0,67;0,17;0,37;81340.0;7;4;1;1;2;3;;;2;1;1;1,438897;0,5;0,5
